id,group,in_stock,color,isbn,city
1,cat,false,Orange,682659291-6,Emiliano Zapata
2,cat,true,Turquoise,698190517-5,
3,shoe,true,Blue,244392477-7,Buan
4,cat,false,Blue,736748107-X,Xingzhen
5,cat,true,Purple,146110781-4,Till
6,shoe,true,Puce,029475745-7,Juazeiro do Norte
7,scarf,true,Pink,418652878-0,Dongyang
8,scarf,true,Green,888153721-4,Panggulan
9,shoe,true,Orange,732604078-8,Santa Cruz de Guacas
10,cat,true,Pink,103194486-9,
11,,false,Violet,479496157-X,Andir
12,scarf,true,Puce,699882006-2,Orël
13,scarf,false,Fuscia,191516387-0,Filiátes
14,shoe,false,Mauv,815943149-X,Matsumoto
15,shoe,false,Orange,239653433-5,Bariri
16,scarf,false,Yellow,913754676-7,
17,scarf,true,Violet,890005694-8,Tengah
18,cat,false,Pink,518073165-8,Asunción Mita
19,cat,,Green,560411549-5,Drosáto
20,cat,false,Mauv,972300785-1,Jinshan
21,scarf,true,Mauv,696173464-2,
22,cat,true,Aquamarine,616197056-2,Kampunglistrik
23,shoe,true,Maroon,400620658-5,Kairouan
24,scarf,true,Orange,214440804-1,Zili
25,cat,false,Red,187319022-0,Wushan
26,cat,false,Green,690187362-X,Qingyuan
27,cat,true,Violet,119329594-7,Tha Maka
28,,false,Red,141857853-3,Takayama
29,cat,true,Turquoise,625193148-5,Marićka
30,cat,false,Blue,579553749-7,Xinjiezi
31,cat,false,Violet,834958771-7,Mê Linh
32,shoe,true,Fuscia,774679540-4,Kasreman Wetan
33,shoe,false,Crimson,132620134-4,Ankazobe
34,shoe,true,Puce,389994445-3,Ryczów
35,cat,false,Aquamarine,662014158-7,Xintaimen
36,scarf,,Green,814547899-5,Baltimore
37,cat,true,Yellow,080464564-7,Vetluga
38,cat,,Aquamarine,833208726-0,Sudimoro
39,scarf,false,Blue,785920195-X,Banes
40,cat,false,Violet,934393196-4,Kingsey Falls
41,cat,false,Crimson,319161764-7,Acajutla
42,cat,false,Orange,501055511-5,San Rafael Oriente
43,cat,true,Maroon,396822205-9,Dalakovo
44,scarf,false,Goldenrod,317570375-5,Jerez
45,scarf,true,Teal,634046981-7,Zarichne
46,scarf,false,Puce,670993446-2,Sölvesborg
47,shoe,false,Mauv,934917695-5,Jember
48,shoe,false,Red,982563477-4,Piraí do Sul
49,cat,false,Fuscia,192967315-9,Zarichne
50,shoe,false,Orange,353842798-4,Tobruk
51,shoe,true,Aquamarine,100141152-8,Xinglong
52,shoe,false,Indigo,283004882-2,Maruoka
53,,false,Fuscia,185612527-0,Dingqing
54,shoe,false,Orange,134008370-1,Arras
55,shoe,true,Puce,540179978-0,Chiang Yuen
56,cat,false,Maroon,817617432-7,Biris Daja
57,,false,Yellow,569053174-X,Nagato
58,shoe,true,Mauv,617972166-1,Radviliskis
59,,true,Puce,207675510-1,Tol’yatti
60,scarf,false,Teal,633373572-8,Jiading
61,shoe,true,Green,000949523-1,Palmital
62,scarf,false,Red,421153310-X,Dallas
63,shoe,false,Red,151416804-9,Boyle
64,shoe,false,Maroon,924560374-1,Kefang
65,cat,true,Mauv,127884068-0,Barrouallie
66,cat,true,Yellow,148228918-0,
67,scarf,false,Purple,992839170-X,San Agustín
68,shoe,true,Crimson,453469667-1,Arrufó
69,cat,true,Mauv,518557590-5,Dagou
70,shoe,false,Blue,935408931-3,Talagasari
71,shoe,true,Green,571000192-9,Xidoupu
72,shoe,true,Violet,352042871-7,Noen Maprang
73,cat,true,Green,066834020-7,Mufushan
74,cat,false,Turquoise,992538386-2,Klippan
75,scarf,true,Crimson,218351973-8,Kitsuki
76,shoe,true,Aquamarine,947757304-3,Upi
77,cat,true,Crimson,144671131-5,Tushi
78,scarf,false,Puce,960322357-3,El Paso
79,scarf,true,Yellow,707948461-8,Margarita
80,scarf,true,Maroon,929223842-6,Gaocun
81,shoe,false,Fuscia,540159466-6,
82,cat,true,Khaki,075332886-0,San Lucas Tolimán
83,cat,true,Goldenrod,247187787-7,Balfour
84,cat,false,Indigo,111903887-1,Yanping
85,shoe,true,Crimson,719202621-2,Changxuanling
86,cat,false,Green,981686972-1,
87,shoe,true,Maroon,219810807-0,Kambaxoi
88,shoe,true,Maroon,592570043-0,Heerlen
89,shoe,false,Turquoise,610978349-8,Ruihong
90,cat,false,Yellow,264460100-2,Chenyangzhai
91,scarf,false,Goldenrod,178004107-1,Brudzew
92,scarf,true,Turquoise,842908911-X,Magway
93,cat,false,Pink,831805496-2,Áno Kómi
94,shoe,true,Aquamarine,392776359-4,Baião
95,cat,false,Red,940688053-9,Tuqiao
